,a,b
205,206,412
206,207,414
207,208,416
208,209,418
209,210,420
210,211,422
211,212,424
212,213,426
213,214,428
214,215,430
215,216,432
216,217,434
217,218,436
218,219,438
219,220,440
220,221,442
221,222,444
222,223,446
223,224,448
224,225,450
225,226,452
226,227,454
227,228,456
228,229,458
229,230,460
230,231,462
231,232,464
232,233,466
233,234,468
234,235,470
235,236,472
236,237,474
237,238,476
238,239,478
239,240,480
240,241,482
241,242,484
242,243,486
243,244,488
244,245,490
245,246,492
246,247,494
247,248,496
248,249,498
249,250,500
250,251,502
251,252,504
252,253,506
253,254,508
254,255,510
255,256,512
256,257,514
257,258,516
258,259,518
259,260,520
260,261,522
261,262,524
262,263,526
263,264,528
264,265,530
265,266,532
266,267,534
267,268,536
268,269,538
269,270,540
270,271,542
271,272,544
272,273,546
273,274,548
274,275,550
275,276,552
276,277,554
277,278,556
278,279,558
279,280,560
280,281,562
281,282,564
282,283,566
283,284,568
284,285,570
285,286,572
286,287,574
287,288,576
288,289,578
289,290,580
290,291,582
291,292,584
292,293,586
293,294,588
294,295,590
295,296,592
296,297,594
297,298,596
298,299,598
299,300,600
300,301,602
301,302,604
302,303,606
303,304,608
304,305,610
305,306,612
306,307,614
307,308,616
308,309,618
309,310,620
310,311,622
311,312,624
312,313,626
313,314,628
314,315,630
315,316,632
316,317,634
317,318,636
318,319,638
319,320,640
320,321,642
321,322,644
322,323,646
323,324,648
324,325,650
325,326,652
326,327,654
327,328,656
328,329,658
329,330,660
330,331,662
331,332,664
332,333,666
333,334,668
334,335,670
335,336,672
336,337,674
337,338,676
338,339,678
339,340,680
340,341,682
341,342,684
342,343,686
343,344,688
344,345,690
345,346,692
346,347,694
347,348,696
348,349,698
349,350,700
350,351,702
351,352,704
352,353,706
353,354,708
354,355,710
355,356,712
356,357,714
357,358,716
358,359,718
359,360,720
360,361,722
361,362,724
362,363,726
363,364,728
364,365,730
365,366,732
366,367,734
367,368,736
368,369,738
369,370,740
370,371,742
371,372,744
372,373,746
373,374,748
374,375,750
375,376,752
376,377,754
377,378,756
378,379,758
379,380,760
380,381,762
381,382,764
382,383,766
383,384,768
384,385,770
385,386,772
386,387,774
387,388,776
388,389,778
389,390,780
390,391,782
391,392,784
392,393,786
393,394,788
394,395,790
395,396,792
396,397,794
397,398,796
398,399,798
399,400,800
400,401,802
401,402,804
402,403,806
403,404,808
404,405,810
405,406,812
406,407,814
407,408,816
408,409,818
409,410,820
410,411,822
411,412,824
412,413,826
413,414,828
414,415,830
415,416,832
416,417,834
417,418,836
418,419,838
419,420,840
420,421,842
421,422,844
422,423,846
423,424,848
424,425,850
425,426,852
426,427,854
427,428,856
428,429,858
429,430,860
430,431,862
431,432,864
432,433,866
433,434,868
434,435,870
435,436,872
436,437,874
437,438,876
438,439,878
439,440,880
440,441,882
441,442,884
442,443,886
443,444,888
444,445,890
445,446,892
446,447,894
447,448,896
448,449,898
449,450,900
450,451,902
451,452,904
452,453,906
453,454,908
454,455,910
455,456,912
456,457,914
457,458,916
458,459,918
459,460,920
460,461,922
461,462,924
462,463,926
463,464,928
464,465,930
465,466,932
466,467,934
467,468,936
468,469,938
469,470,940
470,471,942
471,472,944
472,473,946
473,474,948
474,475,950
475,476,952
476,477,954
477,478,956
478,479,958
479,480,960
480,481,962
481,482,964
482,483,966
483,484,968
484,485,970
485,486,972
486,487,974
487,488,976
488,489,978
489,490,980
490,491,982
491,492,984
492,493,986
493,494,988
494,495,990
495,496,992
496,497,994
497,498,996
498,499,998
499,500,1000
500,501,1002
501,502,1004
502,503,1006
503,504,1008
504,505,1010
505,506,1012
506,507,1014
507,508,1016
508,509,1018
509,510,1020
510,511,1022
511,512,1024
512,513,1026
513,514,1028
514,515,1030
515,516,1032
516,517,1034
517,518,1036
518,519,1038
519,520,1040
520,521,1042
521,522,1044
522,523,1046
523,524,1048
524,525,1050
525,526,1052
526,527,1054
527,528,1056
528,529,1058
529,530,1060
530,531,1062
531,532,1064
532,533,1066
533,534,1068
534,535,1070
535,536,1072
536,537,1074
537,538,1076
538,539,1078
539,540,1080
540,541,1082
541,542,1084
542,543,1086
543,544,1088
544,545,1090
545,546,1092
546,547,1094
547,548,1096
548,549,1098
549,550,1100
550,551,1102
551,552,1104
552,553,1106
553,554,1108
554,555,1110
555,556,1112
556,557,1114
557,558,1116
558,559,1118
559,560,1120
560,561,1122
561,562,1124
562,563,1126
563,564,1128
564,565,1130
565,566,1132
566,567,1134
567,568,1136
568,569,1138
569,570,1140
570,571,1142
571,572,1144
572,573,1146
573,574,1148
574,575,1150
575,576,1152
576,577,1154
577,578,1156
578,579,1158
579,580,1160
580,581,1162
581,582,1164
582,583,1166
583,584,1168
584,585,1170
585,586,1172
586,587,1174
587,588,1176
588,589,1178
589,590,1180
590,591,1182
591,592,1184
592,593,1186
593,594,1188
594,595,1190
595,596,1192
596,597,1194
597,598,1196
598,599,1198
599,600,1200
600,601,1202
601,602,1204
602,603,1206
603,604,1208
604,605,1210
605,606,1212
606,607,1214
607,608,1216
608,609,1218
609,610,1220
610,611,1222
611,612,1224
612,613,1226
613,614,1228
614,615,1230
615,616,1232
616,617,1234
617,618,1236
618,619,1238
619,620,1240
620,621,1242
621,622,1244
622,623,1246
623,624,1248
624,625,1250
625,626,1252
626,627,1254
627,628,1256
628,629,1258
629,630,1260
630,631,1262
631,632,1264
632,633,1266
633,634,1268
634,635,1270
635,636,1272
636,637,1274
637,638,1276
638,639,1278
639,640,1280
640,641,1282
641,642,1284
642,643,1286
643,644,1288
644,645,1290
645,646,1292
646,647,1294
647,648,1296
648,649,1298
649,650,1300
650,651,1302
651,652,1304
652,653,1306
653,654,1308
654,655,1310
655,656,1312
656,657,1314
657,658,1316
658,659,1318
659,660,1320
660,661,1322
661,662,1324
662,663,1326
663,664,1328
664,665,1330
665,666,1332
666,667,1334
667,668,1336
668,669,1338
669,670,1340
670,671,1342
671,672,1344
672,673,1346
673,674,1348
674,675,1350
675,676,1352
676,677,1354
677,678,1356
678,679,1358
679,680,1360
680,681,1362
681,682,1364
682,683,1366
683,684,1368
684,685,1370
685,686,1372
686,687,1374
687,688,1376
688,689,1378
689,690,1380
690,691,1382
691,692,1384
692,693,1386
693,694,1388
694,695,1390
695,696,1392
696,697,1394
697,698,1396
698,699,1398
699,700,1400
700,701,1402
701,702,1404
702,703,1406
703,704,1408
704,705,1410
705,706,1412
706,707,1414
707,708,1416
708,709,1418
709,710,1420
710,711,1422
711,712,1424
712,713,1426
713,714,1428
714,715,1430
715,716,1432
716,717,1434
717,718,1436
718,719,1438
719,720,1440
720,721,1442
721,722,1444
722,723,1446
723,724,1448
724,725,1450
725,726,1452
726,727,1454
727,728,1456
728,729,1458
729,730,1460
730,731,1462
731,732,1464
732,733,1466
733,734,1468
734,735,1470
735,736,1472
736,737,1474
737,738,1476
738,739,1478
739,740,1480
740,741,1482
741,742,1484
742,743,1486
743,744,1488
744,745,1490
745,746,1492
746,747,1494
747,748,1496
748,749,1498
749,750,1500
750,751,1502
751,752,1504
752,753,1506
753,754,1508
754,755,1510
755,756,1512
756,757,1514
757,758,1516
758,759,1518
759,760,1520
760,761,1522
761,762,1524
762,763,1526
763,764,1528
764,765,1530
765,766,1532
766,767,1534
767,768,1536
768,769,1538
769,770,1540
770,771,1542
771,772,1544
772,773,1546
773,774,1548
774,775,1550
775,776,1552
776,777,1554
777,778,1556
778,779,1558
779,780,1560
780,781,1562
781,782,1564
782,783,1566
783,784,1568
784,785,1570
785,786,1572
786,787,1574
787,788,1576
788,789,1578
789,790,1580
790,791,1582
791,792,1584
792,793,1586
793,794,1588
794,795,1590
795,796,1592
796,797,1594
797,798,1596
798,799,1598
799,800,1600
800,801,1602
801,802,1604
802,803,1606
803,804,1608
804,805,1610
805,806,1612
806,807,1614
807,808,1616
808,809,1618
809,810,1620
810,811,1622
811,812,1624
812,813,1626
813,814,1628
814,815,1630
815,816,1632
816,817,1634
817,818,1636
818,819,1638
819,820,1640
820,821,1642
821,822,1644
822,823,1646
823,824,1648
824,825,1650
825,826,1652
826,827,1654
827,828,1656
828,829,1658
829,830,1660
830,831,1662
831,832,1664
832,833,1666
833,834,1668
834,835,1670
835,836,1672
836,837,1674
837,838,1676
838,839,1678
839,840,1680
840,841,1682
841,842,1684
842,843,1686
843,844,1688
844,845,1690
845,846,1692
846,847,1694
847,848,1696
848,849,1698
849,850,1700
850,851,1702
851,852,1704
852,853,1706
853,854,1708
854,855,1710
855,856,1712
856,857,1714
857,858,1716
858,859,1718
859,860,1720
860,861,1722
861,862,1724
862,863,1726
863,864,1728
864,865,1730
865,866,1732
866,867,1734
867,868,1736
868,869,1738
869,870,1740
870,871,1742
871,872,1744
872,873,1746
873,874,1748
874,875,1750
875,876,1752
876,877,1754
877,878,1756
878,879,1758
879,880,1760
880,881,1762
881,882,1764
882,883,1766
883,884,1768
884,885,1770
885,886,1772
886,887,1774
887,888,1776
888,889,1778
889,890,1780
890,891,1782
891,892,1784
892,893,1786
893,894,1788
894,895,1790
895,896,1792
896,897,1794
897,898,1796
898,899,1798
899,900,1800
900,901,1802
901,902,1804
902,903,1806
903,904,1808
904,905,1810
905,906,1812
906,907,1814
907,908,1816
908,909,1818
909,910,1820
910,911,1822
911,912,1824
912,913,1826
913,914,1828
914,915,1830
915,916,1832
916,917,1834
917,918,1836
918,919,1838
919,920,1840
920,921,1842
921,922,1844
922,923,1846
923,924,1848
924,925,1850
925,926,1852
926,927,1854
927,928,1856
928,929,1858
929,930,1860
930,931,1862
931,932,1864
932,933,1866
933,934,1868
934,935,1870
935,936,1872
936,937,1874
937,938,1876
938,939,1878
939,940,1880
940,941,1882
941,942,1884
942,943,1886
943,944,1888
944,945,1890
945,946,1892
946,947,1894
947,948,1896
948,949,1898
949,950,1900
950,951,1902
951,952,1904
952,953,1906
953,954,1908
954,955,1910
955,956,1912
956,957,1914
957,958,1916
958,959,1918
959,960,1920
960,961,1922
961,962,1924
962,963,1926
963,964,1928
964,965,1930
965,966,1932
966,967,1934
967,968,1936
968,969,1938
969,970,1940
970,971,1942
971,972,1944
972,973,1946
973,974,1948
974,975,1950
975,976,1952
976,977,1954
977,978,1956
978,979,1958
979,980,1960
980,981,1962
981,982,1964
982,983,1966
983,984,1968
984,985,1970
985,986,1972
986,987,1974
987,988,1976
988,989,1978
989,990,1980
990,991,1982
991,992,1984
992,993,1986
993,994,1988
994,995,1990
995,996,1992
996,997,1994
997,998,1996
998,999,1998
999,1000,2000
