,hight,weight,c
290,4.44,111.00000000000001,1
291,7.6,190.0,1
292,8.63,215.75000000000003,1
293,8.49,212.25,1
294,9.33,233.25,1
295,3.57,89.25,1
296,8.7,217.49999999999997,1
297,7.35,183.75,1
298,3.84,96.0,1
299,5.77,144.25,1
300,9.17,229.25,1
301,9.89,247.25,1
302,6.55,163.75,1
303,7.96,199.0,1
304,3.74,93.5,1
305,6.48,162.0,1
306,8.42,210.5,1
307,5.66,141.5,1
308,3.9,97.5,1
309,3.73,93.25,1
310,9.88,247.00000000000003,1
311,4.04,101.0,1
312,3.68,92.0,1
313,5.13,128.25,1
314,6.01,150.25,1
315,4.46,111.5,1
316,7.73,193.25,1
317,3.74,93.5,1
318,6.13,153.25,1
319,6.59,164.75,1
320,7.21,180.25,1
321,8.77,219.25,1
322,3.99,99.75,1
323,7.53,188.25,1
324,8.37,209.24999999999997,1
325,3.23,80.75,1
326,7.51,187.75,1
327,9.29,232.24999999999997,1
328,5.18,129.5,1
329,6.58,164.5,1
330,3.47,86.75,1
331,9.39,234.75,1
332,6.34,158.5,1
333,4.39,109.74999999999999,1
334,5.45,136.25,1
335,9.27,231.75,1
336,8.28,206.99999999999997,1
337,3.16,79.0,1
338,3.52,88.0,1
339,4.24,106.0,1
340,7.65,191.25,1
341,7.03,175.75,1
342,9.78,244.49999999999997,1
343,4.54,113.5,1
344,9.61,240.25,1
345,8.18,204.5,1
346,8.84,221.0,1
347,7.19,179.75,1
348,6.84,171.0,1
349,6.73,168.25,1
350,5.57,139.25,1
351,5.71,142.75,1
352,7.19,179.75,1
353,10.0,250.0,1
354,4.05,101.25,1
355,7.26,181.5,1
356,4.79,119.75,1
357,7.45,186.25,1
358,5.31,132.75,1
359,5.39,134.75,1
360,8.22,205.50000000000003,1
361,4.18,104.5,1
362,8.26,206.5,1
363,5.52,138.0,1
364,4.98,124.50000000000001,1
365,5.36,134.0,1
366,3.31,82.75,1
367,8.79,219.74999999999997,1
368,8.44,211.0,1
369,9.33,233.25,1
370,8.77,219.25,1
371,4.18,104.5,1
372,8.19,204.75,1
373,3.84,96.0,1
374,3.16,79.0,1
375,7.67,191.75,1
376,6.09,152.25,1
377,6.33,158.25,1
378,5.5,137.5,1
379,5.81,145.25,1
380,4.14,103.49999999999999,1
381,8.61,215.25,1
382,9.96,249.00000000000003,1
383,5.24,131.0,1
384,4.46,111.5,1
385,8.04,200.99999999999997,1
386,9.06,226.5,1
387,9.5,237.5,1
388,3.15,78.75,1
389,9.17,229.25,1
390,9.25,231.25,1
391,8.12,202.99999999999997,1
392,5.93,148.25,1
393,8.97,224.25000000000003,1
394,5.22,130.5,1
395,4.87,121.75,1
396,4.26,106.5,1
397,3.1,77.5,1
398,6.41,160.25,1
399,3.96,99.0,1
400,3.85,57.75,0
401,4.33,64.95,0
402,8.99,134.85,0
403,5.18,77.69999999999999,0
404,4.32,64.80000000000001,0
405,6.41,96.15,0
406,5.64,84.6,0
407,3.97,59.550000000000004,0
408,9.74,146.1,0
409,4.03,60.45,0
410,7.31,109.64999999999999,0
411,6.65,99.75,0
412,3.89,58.35,0
413,3.22,48.300000000000004,0
414,4.48,67.2,0
415,6.54,98.1,0
416,7.75,116.25,0
417,9.41,141.15,0
418,3.5,52.5,0
419,9.41,141.15,0
420,3.78,56.699999999999996,0
421,9.71,145.65,0
422,3.67,55.05,0
423,5.97,89.55,0
424,8.01,120.14999999999999,0
425,4.2,63.0,0
426,9.47,142.05,0
427,4.08,61.2,0
428,3.42,51.3,0
429,7.68,115.19999999999999,0
430,6.31,94.64999999999999,0
431,4.59,68.85,0
432,8.43,126.44999999999999,0
433,7.98,119.7,0
434,5.27,79.05,0
435,4.86,72.9,0
436,3.7,55.5,0
437,7.91,118.65,0
438,5.18,77.69999999999999,0
439,7.32,109.80000000000001,0
440,4.58,68.7,0
441,5.57,83.55000000000001,0
442,4.2,63.0,0
443,5.28,79.2,0
444,4.65,69.75,0
445,3.03,45.449999999999996,0
446,7.19,107.85000000000001,0
447,5.22,78.3,0
448,3.14,47.1,0
449,9.24,138.6,0
450,3.74,56.1,0
451,4.52,67.8,0
452,6.84,102.6,0
453,6.09,91.35,0
454,5.04,75.6,0
455,9.91,148.65,0
456,6.75,101.25,0
457,9.74,146.1,0
458,5.69,85.35000000000001,0
459,8.1,121.5,0
460,4.83,72.45,0
461,3.77,56.55,0
462,3.73,55.95,0
463,5.55,83.25,0
464,8.52,127.8,0
465,5.32,79.80000000000001,0
466,8.13,121.95000000000002,0
467,3.35,50.25,0
468,4.5,67.5,0
469,7.99,119.85000000000001,0
470,7.37,110.55,0
471,6.48,97.2,0
472,6.8,102.0,0
473,7.92,118.8,0
474,7.29,109.35,0
475,7.78,116.7,0
476,4.35,65.25,0
477,9.1,136.5,0
478,4.52,67.8,0
479,4.51,67.64999999999999,0
480,5.37,80.55,0
481,8.51,127.64999999999999,0
482,4.47,67.05,0
483,5.92,88.8,0
484,8.17,122.55,0
485,4.98,74.7,0
486,6.45,96.75,0
487,5.1,76.5,0
488,8.77,131.54999999999998,0
489,4.88,73.2,0
490,7.32,109.80000000000001,0
491,5.74,86.10000000000001,0
492,6.45,96.75,0
493,9.82,147.3,0
494,9.61,144.14999999999998,0
495,3.33,49.95,0
496,3.97,59.550000000000004,0
497,4.87,73.05,0
498,4.52,67.8,0
499,7.39,110.85,0
500,9.91,148.65,0
501,4.46,66.9,0
502,3.63,54.449999999999996,0
503,5.16,77.4,0
504,8.72,130.8,0
505,8.29,124.35,0
506,4.11,61.650000000000006,0
507,8.78,131.7,0
508,3.29,49.35,0
509,8.23,123.45,0
510,8.09,121.35,0
511,9.87,148.04999999999998,0
512,4.06,60.89999999999999,0
513,6.48,97.2,0
514,8.42,126.3,0
515,9.13,136.95000000000002,0
516,3.39,50.85,0
517,5.93,88.94999999999999,0
518,6.52,97.8,0
519,6.57,98.55000000000001,0
520,7.18,107.69999999999999,0
521,4.02,60.3,0
522,5.23,78.45,0
523,8.73,130.95000000000002,0
524,9.12,136.79999999999998,0
525,5.11,76.65,0
526,5.49,82.35000000000001,0
527,8.86,132.89999999999998,0
528,4.7,70.5,0
529,5.0,75.0,0
530,5.08,76.2,0
531,8.44,126.6,0
532,7.7,115.5,0
533,5.09,76.35,0
534,6.47,97.05,0
535,3.1,46.5,0
536,6.34,95.1,0
537,7.09,106.35,0
538,9.03,135.45,0
539,9.25,138.75,0
540,4.1,61.49999999999999,0
541,7.36,110.4,0
542,3.72,55.800000000000004,0
543,4.91,73.65,0
544,8.87,133.04999999999998,0
545,3.77,56.55,0
546,5.49,82.35000000000001,0
547,5.15,77.25,0
548,5.18,77.69999999999999,0
549,3.1,46.5,0
550,7.46,111.9,0
551,7.43,111.44999999999999,0
552,8.75,131.25,0
553,7.87,118.05,0
554,7.75,116.25,0
555,7.82,117.30000000000001,0
556,6.37,95.55,0
557,5.92,88.8,0
558,4.3,64.5,0
559,4.98,74.7,0
560,7.82,117.30000000000001,0
561,6.28,94.2,0
562,6.82,102.30000000000001,0
563,3.78,56.699999999999996,0
564,7.86,117.9,0
565,5.29,79.35,0
566,4.37,65.55,0
567,4.97,74.55,0
568,4.49,67.35000000000001,0
569,9.82,147.3,0
570,4.94,74.10000000000001,0
571,9.42,141.3,0
572,5.52,82.8,0
573,9.19,137.85,0
574,6.36,95.4,0
575,8.72,130.8,0
576,5.72,85.8,0
577,5.91,88.65,0
578,8.34,125.1,0
579,7.44,111.60000000000001,0
580,7.76,116.39999999999999,0
581,7.25,108.75,0
582,6.62,99.3,0
583,4.6,69.0,0
584,4.85,72.75,0
585,4.66,69.9,0
586,9.23,138.45000000000002,0
587,8.45,126.74999999999999,0
588,7.12,106.8,0
589,7.27,109.05,0
590,7.63,114.45,0
591,8.79,131.85,0
592,6.83,102.45,0
593,3.75,56.25,0
594,7.25,108.75,0
595,9.39,140.85000000000002,0
596,5.94,89.10000000000001,0
597,6.28,94.2,0
598,7.87,118.05,0
599,3.86,57.9,0
600,8.22,123.30000000000001,0
601,6.64,99.6,0
602,9.2,138.0,0
603,4.18,62.699999999999996,0
604,8.9,133.5,0
605,5.43,81.44999999999999,0
606,6.1,91.5,0
607,6.62,99.3,0
608,7.0,105.0,0
609,4.55,68.25,0
610,4.24,63.6,0
611,8.3,124.50000000000001,0
612,5.02,75.3,0
613,6.97,104.55,0
614,4.92,73.8,0
615,8.44,126.6,0
616,5.91,88.65,0
617,6.62,99.3,0
618,9.8,147.0,0
619,7.49,112.35000000000001,0
620,3.87,58.050000000000004,0
621,3.56,53.4,0
622,9.81,147.15,0
623,5.13,76.95,0
624,8.74,131.1,0
625,6.18,92.69999999999999,0
626,6.58,98.7,0
627,7.18,107.69999999999999,0
628,8.72,130.8,0
629,6.98,104.7,0
630,4.62,69.3,0
631,9.12,136.79999999999998,0
632,6.31,94.64999999999999,0
633,7.79,116.85,0
634,3.17,47.55,0
635,9.56,143.4,0
636,3.9,58.5,0
637,3.29,49.35,0
638,6.45,96.75,0
639,3.97,59.550000000000004,0
640,7.14,107.1,0
641,9.46,141.9,0
642,9.37,140.54999999999998,0
643,5.01,75.14999999999999,0
644,9.49,142.35,0
645,8.59,128.85,0
646,5.13,76.95,0
647,3.18,47.7,0
648,3.34,50.099999999999994,0
649,5.7,85.5,0
650,5.61,84.15,0
651,8.22,123.30000000000001,0
652,8.79,131.85,0
653,6.58,98.7,0
654,7.88,118.2,0
655,8.5,127.5,0
656,6.19,92.85000000000001,0
657,9.29,139.35,0
658,7.25,108.75,0
659,5.39,80.85,0
660,7.17,107.55,0
661,8.85,132.75,0
662,8.18,122.69999999999999,0
663,5.95,89.25,0
664,7.05,105.75,0
665,4.02,60.3,0
666,5.21,78.15,0
667,8.83,132.45,0
668,5.39,80.85,0
669,6.92,103.8,0
670,6.7,100.5,0
671,7.35,110.25,0
672,8.68,130.2,0
673,9.69,145.35,0
674,7.77,116.55,0
675,4.83,72.45,0
676,5.26,78.89999999999999,0
677,8.48,127.2,0
678,6.54,98.1,0
679,7.98,119.7,0
680,4.89,73.35,0
681,9.77,146.54999999999998,0
682,8.4,126.0,0
683,6.81,102.14999999999999,0
684,5.61,84.15,0
685,7.7,115.5,0
686,9.01,135.15,0
687,8.96,134.4,0
688,3.16,47.400000000000006,0
689,6.86,102.9,0
690,7.47,112.05,0
691,4.58,68.7,0
692,6.35,95.25,0
693,8.85,132.75,0
694,6.58,98.7,0
695,3.46,51.9,0
696,3.31,49.65,0
697,6.06,90.89999999999999,0
698,6.2,93.0,0
699,9.07,136.05,0
700,4.83,72.45,0
701,7.29,109.35,0
702,5.5,82.5,0
703,6.69,100.35000000000001,0
704,6.66,99.9,0
705,4.0,60.0,0
706,3.83,57.45,0
707,4.18,62.699999999999996,0
708,5.32,79.80000000000001,0
709,8.37,125.54999999999998,0
710,8.5,127.5,0
711,9.81,147.15,0
712,5.37,80.55,0
713,5.66,84.9,0
714,7.96,119.4,0
715,5.75,86.25,0
716,6.6,99.0,0
717,9.11,136.64999999999998,0
718,7.74,116.10000000000001,0
719,4.96,74.4,0
720,6.53,97.95,0
721,6.33,94.95,0
722,5.43,81.44999999999999,0
723,6.19,92.85000000000001,0
724,6.08,91.2,0
725,6.57,98.55000000000001,0
726,4.73,70.95,0
727,6.19,92.85000000000001,0
728,7.63,114.45,0
729,8.0,120.0,0
730,6.14,92.1,0
731,3.24,48.6,0
732,9.11,136.64999999999998,0
733,3.42,51.3,0
734,6.71,100.65,0
735,6.93,103.94999999999999,0
736,8.67,130.05,0
737,9.43,141.45,0
738,7.48,112.2,0
739,3.67,55.05,0
740,5.21,78.15,0
741,7.42,111.3,0
742,7.86,117.9,0
743,4.32,64.80000000000001,0
744,4.34,65.1,0
745,5.53,82.95,0
746,3.87,58.050000000000004,0
747,3.14,47.1,0
748,6.05,90.75,0
749,3.26,48.9,0
750,9.65,144.75,0
751,7.51,112.64999999999999,0
752,6.67,100.05,0
753,6.36,95.4,0
754,5.05,75.75,0
755,4.47,67.05,0
756,7.5,112.5,0
757,4.5,67.5,0
758,9.1,136.5,0
759,5.97,89.55,0
760,8.5,127.5,0
761,6.54,98.1,0
762,5.48,82.2,0
763,3.44,51.6,0
764,9.76,146.4,0
765,3.44,51.6,0
766,3.72,55.800000000000004,0
767,7.62,114.3,0
768,7.95,119.25,0
769,9.19,137.85,0
770,5.16,77.4,0
771,9.55,143.25,0
772,9.24,138.6,0
773,4.33,64.95,0
774,4.78,71.7,0
775,8.99,134.85,0
776,7.47,112.05,0
777,6.6,99.0,0
778,5.86,87.9,0
779,3.17,47.55,0
780,5.54,83.1,0
781,6.06,90.89999999999999,0
782,3.24,48.6,0
783,3.03,45.449999999999996,0
784,5.78,86.7,0
785,5.81,87.14999999999999,0
786,6.0,90.0,0
787,3.19,47.85,0
788,5.85,87.75,0
789,6.81,102.14999999999999,0
790,4.13,61.949999999999996,0
791,8.14,122.10000000000001,0
792,5.82,87.30000000000001,0
793,8.41,126.15,0
794,6.69,100.35000000000001,0
795,5.77,86.55,0
796,4.26,63.9,0
797,5.95,89.25,0
798,5.46,81.9,0
799,8.09,121.35,0
