,a,b
201,202,40804
202,203,41209
203,204,41616
204,205,42025
205,206,42436
206,207,42849
207,208,43264
208,209,43681
209,210,44100
210,211,44521
211,212,44944
212,213,45369
213,214,45796
214,215,46225
215,216,46656
216,217,47089
217,218,47524
218,219,47961
219,220,48400
220,221,48841
221,222,49284
222,223,49729
223,224,50176
224,225,50625
225,226,51076
226,227,51529
227,228,51984
228,229,52441
229,230,52900
230,231,53361
231,232,53824
232,233,54289
233,234,54756
234,235,55225
235,236,55696
236,237,56169
237,238,56644
238,239,57121
239,240,57600
240,241,58081
241,242,58564
242,243,59049
243,244,59536
244,245,60025
245,246,60516
246,247,61009
247,248,61504
248,249,62001
249,250,62500
250,251,63001
251,252,63504
252,253,64009
253,254,64516
254,255,65025
255,256,65536
256,257,66049
257,258,66564
258,259,67081
259,260,67600
260,261,68121
261,262,68644
262,263,69169
263,264,69696
264,265,70225
265,266,70756
266,267,71289
267,268,71824
268,269,72361
269,270,72900
270,271,73441
271,272,73984
272,273,74529
273,274,75076
274,275,75625
275,276,76176
276,277,76729
277,278,77284
278,279,77841
279,280,78400
280,281,78961
281,282,79524
282,283,80089
283,284,80656
284,285,81225
285,286,81796
286,287,82369
287,288,82944
288,289,83521
289,290,84100
290,291,84681
291,292,85264
292,293,85849
293,294,86436
294,295,87025
295,296,87616
296,297,88209
297,298,88804
298,299,89401
299,300,90000
300,301,90601
301,302,91204
302,303,91809
303,304,92416
304,305,93025
305,306,93636
306,307,94249
307,308,94864
308,309,95481
309,310,96100
310,311,96721
311,312,97344
312,313,97969
313,314,98596
314,315,99225
315,316,99856
316,317,100489
317,318,101124
318,319,101761
319,320,102400
320,321,103041
321,322,103684
322,323,104329
323,324,104976
324,325,105625
325,326,106276
326,327,106929
327,328,107584
328,329,108241
329,330,108900
330,331,109561
331,332,110224
332,333,110889
333,334,111556
334,335,112225
335,336,112896
336,337,113569
337,338,114244
338,339,114921
339,340,115600
340,341,116281
341,342,116964
342,343,117649
343,344,118336
344,345,119025
345,346,119716
346,347,120409
347,348,121104
348,349,121801
349,350,122500
350,351,123201
351,352,123904
352,353,124609
353,354,125316
354,355,126025
355,356,126736
356,357,127449
357,358,128164
358,359,128881
359,360,129600
360,361,130321
361,362,131044
362,363,131769
363,364,132496
364,365,133225
365,366,133956
366,367,134689
367,368,135424
368,369,136161
369,370,136900
370,371,137641
371,372,138384
372,373,139129
373,374,139876
374,375,140625
375,376,141376
376,377,142129
377,378,142884
378,379,143641
379,380,144400
380,381,145161
381,382,145924
382,383,146689
383,384,147456
384,385,148225
385,386,148996
386,387,149769
387,388,150544
388,389,151321
389,390,152100
390,391,152881
391,392,153664
392,393,154449
393,394,155236
394,395,156025
395,396,156816
396,397,157609
397,398,158404
398,399,159201
399,400,160000
400,401,160801
401,402,161604
402,403,162409
403,404,163216
404,405,164025
405,406,164836
406,407,165649
407,408,166464
408,409,167281
409,410,168100
410,411,168921
411,412,169744
412,413,170569
413,414,171396
414,415,172225
415,416,173056
416,417,173889
417,418,174724
418,419,175561
419,420,176400
420,421,177241
421,422,178084
422,423,178929
423,424,179776
424,425,180625
425,426,181476
426,427,182329
427,428,183184
428,429,184041
429,430,184900
430,431,185761
431,432,186624
432,433,187489
433,434,188356
434,435,189225
435,436,190096
436,437,190969
437,438,191844
438,439,192721
439,440,193600
440,441,194481
441,442,195364
442,443,196249
443,444,197136
444,445,198025
445,446,198916
446,447,199809
447,448,200704
448,449,201601
449,450,202500
450,451,203401
451,452,204304
452,453,205209
453,454,206116
454,455,207025
455,456,207936
456,457,208849
457,458,209764
458,459,210681
459,460,211600
460,461,212521
461,462,213444
462,463,214369
463,464,215296
464,465,216225
465,466,217156
466,467,218089
467,468,219024
468,469,219961
469,470,220900
470,471,221841
471,472,222784
472,473,223729
473,474,224676
474,475,225625
475,476,226576
476,477,227529
477,478,228484
478,479,229441
479,480,230400
480,481,231361
481,482,232324
482,483,233289
483,484,234256
484,485,235225
485,486,236196
486,487,237169
487,488,238144
488,489,239121
489,490,240100
490,491,241081
491,492,242064
492,493,243049
493,494,244036
494,495,245025
495,496,246016
496,497,247009
497,498,248004
498,499,249001
499,500,250000
500,501,251001
501,502,252004
502,503,253009
503,504,254016
504,505,255025
505,506,256036
506,507,257049
507,508,258064
508,509,259081
509,510,260100
510,511,261121
511,512,262144
512,513,263169
513,514,264196
514,515,265225
515,516,266256
516,517,267289
517,518,268324
518,519,269361
519,520,270400
520,521,271441
521,522,272484
522,523,273529
523,524,274576
524,525,275625
525,526,276676
526,527,277729
527,528,278784
528,529,279841
529,530,280900
530,531,281961
531,532,283024
532,533,284089
533,534,285156
534,535,286225
535,536,287296
536,537,288369
537,538,289444
538,539,290521
539,540,291600
540,541,292681
541,542,293764
542,543,294849
543,544,295936
544,545,297025
545,546,298116
546,547,299209
547,548,300304
548,549,301401
549,550,302500
550,551,303601
551,552,304704
552,553,305809
553,554,306916
554,555,308025
555,556,309136
556,557,310249
557,558,311364
558,559,312481
559,560,313600
560,561,314721
561,562,315844
562,563,316969
563,564,318096
564,565,319225
565,566,320356
566,567,321489
567,568,322624
568,569,323761
569,570,324900
570,571,326041
571,572,327184
572,573,328329
573,574,329476
574,575,330625
575,576,331776
576,577,332929
577,578,334084
578,579,335241
579,580,336400
580,581,337561
581,582,338724
582,583,339889
583,584,341056
584,585,342225
585,586,343396
586,587,344569
587,588,345744
588,589,346921
589,590,348100
590,591,349281
591,592,350464
592,593,351649
593,594,352836
594,595,354025
595,596,355216
596,597,356409
597,598,357604
598,599,358801
599,600,360000
600,601,361201
601,602,362404
602,603,363609
603,604,364816
604,605,366025
605,606,367236
606,607,368449
607,608,369664
608,609,370881
609,610,372100
610,611,373321
611,612,374544
612,613,375769
613,614,376996
614,615,378225
615,616,379456
616,617,380689
617,618,381924
618,619,383161
619,620,384400
620,621,385641
621,622,386884
622,623,388129
623,624,389376
624,625,390625
625,626,391876
626,627,393129
627,628,394384
628,629,395641
629,630,396900
630,631,398161
631,632,399424
632,633,400689
633,634,401956
634,635,403225
635,636,404496
636,637,405769
637,638,407044
638,639,408321
639,640,409600
640,641,410881
641,642,412164
642,643,413449
643,644,414736
644,645,416025
645,646,417316
646,647,418609
647,648,419904
648,649,421201
649,650,422500
650,651,423801
651,652,425104
652,653,426409
653,654,427716
654,655,429025
655,656,430336
656,657,431649
657,658,432964
658,659,434281
659,660,435600
660,661,436921
661,662,438244
662,663,439569
663,664,440896
664,665,442225
665,666,443556
666,667,444889
667,668,446224
668,669,447561
669,670,448900
670,671,450241
671,672,451584
672,673,452929
673,674,454276
674,675,455625
675,676,456976
676,677,458329
677,678,459684
678,679,461041
679,680,462400
680,681,463761
681,682,465124
682,683,466489
683,684,467856
684,685,469225
685,686,470596
686,687,471969
687,688,473344
688,689,474721
689,690,476100
690,691,477481
691,692,478864
692,693,480249
693,694,481636
694,695,483025
695,696,484416
696,697,485809
697,698,487204
698,699,488601
699,700,490000
700,701,491401
701,702,492804
702,703,494209
703,704,495616
704,705,497025
705,706,498436
706,707,499849
707,708,501264
708,709,502681
709,710,504100
710,711,505521
711,712,506944
712,713,508369
713,714,509796
714,715,511225
715,716,512656
716,717,514089
717,718,515524
718,719,516961
719,720,518400
720,721,519841
721,722,521284
722,723,522729
723,724,524176
724,725,525625
725,726,527076
726,727,528529
727,728,529984
728,729,531441
729,730,532900
730,731,534361
731,732,535824
732,733,537289
733,734,538756
734,735,540225
735,736,541696
736,737,543169
737,738,544644
738,739,546121
739,740,547600
740,741,549081
741,742,550564
742,743,552049
743,744,553536
744,745,555025
745,746,556516
746,747,558009
747,748,559504
748,749,561001
749,750,562500
750,751,564001
751,752,565504
752,753,567009
753,754,568516
754,755,570025
755,756,571536
756,757,573049
757,758,574564
758,759,576081
759,760,577600
760,761,579121
761,762,580644
762,763,582169
763,764,583696
764,765,585225
765,766,586756
766,767,588289
767,768,589824
768,769,591361
769,770,592900
770,771,594441
771,772,595984
772,773,597529
773,774,599076
774,775,600625
775,776,602176
776,777,603729
777,778,605284
778,779,606841
779,780,608400
780,781,609961
781,782,611524
782,783,613089
783,784,614656
784,785,616225
785,786,617796
786,787,619369
787,788,620944
788,789,622521
789,790,624100
790,791,625681
791,792,627264
792,793,628849
793,794,630436
794,795,632025
795,796,633616
796,797,635209
797,798,636804
798,799,638401
799,800,640000
800,801,641601
801,802,643204
802,803,644809
803,804,646416
804,805,648025
805,806,649636
806,807,651249
807,808,652864
808,809,654481
809,810,656100
810,811,657721
811,812,659344
812,813,660969
813,814,662596
814,815,664225
815,816,665856
816,817,667489
817,818,669124
818,819,670761
819,820,672400
820,821,674041
821,822,675684
822,823,677329
823,824,678976
824,825,680625
825,826,682276
826,827,683929
827,828,685584
828,829,687241
829,830,688900
830,831,690561
831,832,692224
832,833,693889
833,834,695556
834,835,697225
835,836,698896
836,837,700569
837,838,702244
838,839,703921
839,840,705600
840,841,707281
841,842,708964
842,843,710649
843,844,712336
844,845,714025
845,846,715716
846,847,717409
847,848,719104
848,849,720801
849,850,722500
850,851,724201
851,852,725904
852,853,727609
853,854,729316
854,855,731025
855,856,732736
856,857,734449
857,858,736164
858,859,737881
859,860,739600
860,861,741321
861,862,743044
862,863,744769
863,864,746496
864,865,748225
865,866,749956
866,867,751689
867,868,753424
868,869,755161
869,870,756900
870,871,758641
871,872,760384
872,873,762129
873,874,763876
874,875,765625
875,876,767376
876,877,769129
877,878,770884
878,879,772641
879,880,774400
880,881,776161
881,882,777924
882,883,779689
883,884,781456
884,885,783225
885,886,784996
886,887,786769
887,888,788544
888,889,790321
889,890,792100
890,891,793881
891,892,795664
892,893,797449
893,894,799236
894,895,801025
895,896,802816
896,897,804609
897,898,806404
898,899,808201
899,900,810000
900,901,811801
901,902,813604
902,903,815409
903,904,817216
904,905,819025
905,906,820836
906,907,822649
907,908,824464
908,909,826281
909,910,828100
910,911,829921
911,912,831744
912,913,833569
913,914,835396
914,915,837225
915,916,839056
916,917,840889
917,918,842724
918,919,844561
919,920,846400
920,921,848241
921,922,850084
922,923,851929
923,924,853776
924,925,855625
925,926,857476
926,927,859329
927,928,861184
928,929,863041
929,930,864900
930,931,866761
931,932,868624
932,933,870489
933,934,872356
934,935,874225
935,936,876096
936,937,877969
937,938,879844
938,939,881721
939,940,883600
940,941,885481
941,942,887364
942,943,889249
943,944,891136
944,945,893025
945,946,894916
946,947,896809
947,948,898704
948,949,900601
949,950,902500
950,951,904401
951,952,906304
952,953,908209
953,954,910116
954,955,912025
955,956,913936
956,957,915849
957,958,917764
958,959,919681
959,960,921600
960,961,923521
961,962,925444
962,963,927369
963,964,929296
964,965,931225
965,966,933156
966,967,935089
967,968,937024
968,969,938961
969,970,940900
970,971,942841
971,972,944784
972,973,946729
973,974,948676
974,975,950625
975,976,952576
976,977,954529
977,978,956484
978,979,958441
979,980,960400
980,981,962361
981,982,964324
982,983,966289
983,984,968256
984,985,970225
985,986,972196
986,987,974169
987,988,976144
988,989,978121
989,990,980100
990,991,982081
991,992,984064
992,993,986049
993,994,988036
994,995,990025
995,996,992016
996,997,994009
997,998,996004
998,999,998001
999,1000,1000000
